id;entorno;nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;direccion;lat;lng;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;imagen_1;imagen_2;imagen_3;imagen_4;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion;cuit_contratista;beneficiarios;mano_obra;compromiso;destacada;ba_elige;link_interno;pliego_descarga;expediente-numero;estudio_ambiental_descarga;financiamiento;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Villa Olí­mpica;Villa Olí­mpica: Viviendas VII;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;La licitación Nº 7 contempló la construcción de aproximadamente 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.;123691183;8;Villa Lugano;FERNANDEZ DE LA CRUZ,F.,GRAL. AV. Y ESCALADA AV.;-3,467,374,819;-5,845,900,361;25/2/2016;31/10/2017;20;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/12-1.jpg;;;;Cunumi S.A;2015;Licitación Pública;449/2015;30615748036;;;SI;;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/192;7.482.410-MGEYA-DGPUYA-2015;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Villa Olí­mpica;Villa Olí­mpica: Viviendas VIII;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;La licitación Nº 8 contempló la construcción de 4 edificios que fueron destinados a los Juegos Olí­mpicos. Se construyeron aproximadamente 12.900m2 que fueron destinados a y 410m2 que fueron destinados a locales comerciales.;174609630;8;Villa Lugano;FERNANDEZ DE LA CRUZ,F.,GRAL. AV. Y ESCALADA AV.;-3,467,374,819;-5,845,900,361;15/2/2016;15/11/2017;21;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/13-1.jpg;;;;Constructora Sudamericana S.A.;2015;Licitación Pública;528/2015;30610895456;;;SI;;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/195;7.483.365-MGEYA-DGPUYA-2015;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Villa Olí­mpica;Villa Olí­mpica: Viviendas X;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;La licitación Nº 10 completó el grupo de licitaciones de viviendas para los Juegos Olí­mpicos que dieron respuesta habitacional,contemplando 2 edificios destinados a los Juegos Olimpicos. Además,se construyerón aproximadamente 7.000m2 que fueron destinados a vivienda y 130m2 que fueron destinados a locales comerciales.;98174265;8;Villa Lugano;FERNANDEZ DE LA CRUZ,F.,GRAL. AV. Y ESCALADA AV.;-3,467,374,819;-5,845,900,361;28/4/2016;31/12/2017;20;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/14-1.jpg;;;;Vidogar Construcciones S.A;2015;Licitación Pública;573/2015;30553433564;;;SI;;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/197;12.808.238-MGEYA-DGPUYA-2015;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Villa Olí­mpica;Villa Olí­mpica: Viviendas I;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;La licitación Nº 1 contempló la construcción de 3 edificios de uso mixto. Se destinaron aproximadamente 12.400m2 que fueron destinados a vivienda y 160m2 que fueron destinados a locales comerciales.;154853715;8;Villa Lugano;FERNANDEZ DE LA CRUZ,F.,GRAL. AV. Y ESCALADA AV.;-3,467,374,819;-5,845,900,361;1/6/2015;20/12/2017;30;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/16-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/16-2.jpg;;;Cavcon S.A.;2015;Licitación Pública;1876/2014;33707292259;;;SI;;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/182;15282589-DGPUYA/2D14;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Villa Olí­mpica;Villa Olimpica: Provisión Y Colocación De Equipamiento De Cocina En Edificios Villa Olí­mpica;Finalizada;Vivienda;Corporación Buenos Aires Sur;La Obra Consiste En La Provisión Y Colocación De Equipamiento En Las Cocinas,SUM,Espacios De Parrilla,Lavaderos Y Locales De Los 29 Edificios De Villa Olí­mpica;58565032;8;Villa Lugano;Escalada Av. 4200;-34,675,641;-58,454,314;7/8/2018;4/5/2019;9;100;;;;;CALELLO HERMANOS SA;2018;Licitación Pública;04-CBAS-2018;30500716858;vecinos;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Parque Olí­mpico;Parque Olí­mpico: Demolición total,extracción y trasplante de árboles,cerco perimetral;Finalizada;Espacio Público;Secretarí­a de Transporte y Obras Públicas;Se procedió a la contrucción de un cerco olí­mpico perimetral que ayudó a delimitar el área de intervención,resguardando la ejecución de los trabajos y a su vez funcionando como cerco definitivo una vez terminada las obras. Además,incluyó también las tareas de demolición de los edificios y equipamientos obsoletos existentes,la extracción y trasplante de los árboles y arbustos dentro del mismo predio.;48590604;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-3,467,389,687;-5,843,605,975;28/12/2016;30/3/2017;3;100;https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_parqueolimpico_demolicionytransplantedearboles_foto1.jpg;https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_parqueolimpico_demolicionytransplantedearboles_foto2.jpg;https://www.youtube.com/watch?v=1THOam0NOqc;;Salvatori S.A Parques Y Jardines;2016;Licitación Pública;880-SIGAF/16;30512700124;;;;SI;;https://www.buenosaires.gob.ar/baobras/Parque-Olí­mpico;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/235;20515970-DGIURB-2016;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Parque Olí­mpico;Parque Olí­mpico: Instalación de red de agua potable,incendio cloacal,pluvial y red de gas.;Finalizada;Hidráulica e Infraestructura;Secretarí­a de Transporte y Obras Públicas;Se realizaron obras de infraestructura de las nuevas redes internas de agua potable,desagí¼es cloacales,desagí¼es pluviales y red de gas para los pabellones y equipamientos deportivos del Parque Olí­mpico.;42340809;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-3,467,389,687;-5,843,605,975;30/1/2017;16/4/2018;15;100;https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/iconos_infraestructura.jpg;https://cdn2.buenosaires.gob.ar/baobras/mduyt2/villa_Olí­mpica%20%287%29.png;;;Tecma S.A.;2016;Licitación Pública;1032-SIGAF/16;30623866528;;;;;;https://www.buenosaires.gob.ar/baobras/Parque-Olí­mpico;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/243;20.669.375-DGIURB-2016;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Parque Olí­mpico;Parque Olí­mpico: Pabellones A1 Y A2.;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;Se realizaron obras de los pabellones para albergar los diferentes equipamientos deportivos.;194988604;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-3,467,389,687;-5,843,605,975;15/2/2017;31/12/2017;10;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/19-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/19-2.jpg;;;Constructora Sudamericana S.A.;2016;Licitación Pública;1192-SIGAF/16;30610895456;;;;;;https://www.buenosaires.gob.ar/baobras/Parque-Olí­mpico;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/252;2016-24004377-MGEYA-DGIURB;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Parque Olí­mpico;Parque Olí­mpico: Pabellones A3 Y A4.;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;Se realizaron obras de los pabellones que incluyeron la infraestructura deportiva para los Juegos Olí­mpicos.;168646366;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-3,467,389,687;-5,843,605,975;15/2/2017;12/1/2018;11;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/20-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/20-2.jpg;;;Criba S.A.;2016;Licitación Pública;1191-SIGAF/16;30505454436;;;;;;https://www.buenosaires.gob.ar/baobras/Parque-Olí­mpico;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/253;EX-2016-24004750-MGEYA-DGIURB;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Parque Olí­mpico;Parque Olí­mpico: Espacio público,equipamiento deportivo exterior;Finalizada;Espacio Público;Secretarí­a de Transporte y Obras Públicas;Se contempló la reacondición y modernización del espacio público y equipamiento deportivo exterior. Las áreas deportivas que se encuentran al aire libre incluyeron: 2 pistas de atletismo,canchas de hockey,beach handball,beach voley y basquet. Además,se puso en valor el pórtico de acceso al parque olí­mpico,la construcción de una cabina de control con su sector de servicios y la rehabilitación de la torre tanque acondicionada e incluida al sistema de protección contra incendios.;349706395;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-3,467,389,687;-5,843,605,975;7/6/2017;30/10/2018;16;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/21-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/21-2.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/21-3.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/21-4.jpg;Conorvial S.A;2017;Licitación Pública;266/2017;33504596309;;;;;;https://www.buenosaires.gob.ar/baobras/Parque-Olí­mpico;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/271;27359314-DGIURB-2016;;;,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Parque Olí­mpico;Parque Olí­mpico: Pabellón C.;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;Se realizaron obras en el Pabellón C que consistieron en la ejecución del complejo natatorio,incluyendo una piscina de saltos con plataformas,una piscina de nado de ocho carriles y las instalaciones complementarias para la realización de las competencias,sala de cronometraje,sanitarios,salas de musculación y preparación de deportistas,salas de máquinas y gradas para espectadores.;508091151;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-3,467,389,687;-5,843,605,975;25/4/2017;30/6/2018;14;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/22-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/22-2.jpg;;;Niro Construcciones S.A.;2017;Licitación Pública;36/ 2017;33588171979;;;;;;https://www.buenosaires.gob.ar/baobras/Parque-Olí­mpico;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/257;EX-2016- 25.688.941í¢ÂÂMGEYA-DGIURB;;;,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Villa Olí­mpica;Villa Olimpica: Ejecución Baños En Locales Comerciales En Edificios Villa Olí­mpica;Finalizada;Arquitectura;Corporación Buenos Aires Sur;La Obra Consiste En La Ejecución De Seis Núcleos Sanitarios En Sector De Locales Comerciales En Cinco De Los Edificios De Villa Olí­mpica ;1686743;8;Villa Lugano;Escalada Av. 4200;-34,675,641;-58,454,314;19/11/2018;19/1/2019;2;100;;;;;Bosquimano S.A;2018;Contratación Directa;54-CBAS-2018;30711470022;vecinos;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Villa Olí­mpica;Villa Olimpica: Readecuación  Locales Planta Baja Edificios UG7 Villa Olí­mpica;Finalizada;Arquitectura;Corporación Buenos Aires Sur;La Obra Consiste En La Readecuación De Locales De Planta Baja En Edifio UG7 De Villa Olí­mpica ;3118410;8;Villa Lugano;Escalada Av. 4200;-34,675,641;-58,454,314;5/2/2019;6/4/2019;1;100;;;;;CM CONSTRUCCIONES SA;2019;Contratación Directa;57-CBAS-2018;30714322660;vecinos;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Villa Olí­mpica;Villa Olimpica: Provisión Y Colocación De Equipamiento De Cocina En Edificios UG7 P3 Y P4 Villa Olí­mpica;Finalizada;Vivienda;Corporación Buenos Aires Sur;La Obra Consiste En La Provisión y Colocación de Equipamiento de Cocina En Los Edificios UG7 P3 y P4 - Villa Olí­mpica; 6595600;8;Villa Lugano;Escalada Av. 4200;-34,675,641;-58,454,314;2/1/2019;11/2/2019;1,33;100;;;;;MIAVASA SA;2019;Licitación Privada;01-CBAS-2018;30677303863;vecinos;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Parque Olí­mpico;Parque Olí­mpico: Pabellón B.;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;La obra consistió en la construcción del Pabellón C que albergó a la competencia de gimnasia artí­stica y cuentu su vez con los servicios necesarios para su funcionamiento,como vestuarios,baños generales,oficinas y los espacios necesarios de logí­stica,enfermerí­a y doping.;283389377;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-3,467,389,687;-5,843,605,975;5/8/2017;30/6/2018;10;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/27-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/27-2.jpg;;;Criba S.A.;2017;Licitación Pública;35 /17;30505454436;;;;;;https://www.buenosaires.gob.ar/baobras/Parque-Olí­mpico;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/258;24.005.383-DGIURB-2016;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
